advertiser,ad_unit,ad_ctr,revenue,impressions,ecpm
Caleres,21839579524 » am-android-foryou-large-ib-low,1.26%,24.70,"8,071",3.06
Caleres,21839579524 » am-android-foryou-large-ib-medium,1.49%,41.63,"7,997",5.21
California Closet Company,21839579524 » am-android-foryou-large-ib-high,100.00%,0.01,1,12.01
California Closet Company,21839579524 » am-android-foryou-large-ib-low,0.00%,0.02,6,3.01
California Closet Company,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,2,5.01
California State University,21839579524 » am-android-foryou-large-ib-high,0.00%,0.01,1,12.01
California State University,21839579524 » am-android-foryou-large-ib-low,3.03%,0.10,33,3.01
California State University,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.12,23,5.12
Callaway Golf,21839579524 » am-android-foryou-large-ib-high,1.86%,26.41,"2,047",12.90
Callaway Golf,21839579524 » am-android-foryou-large-ib-low,1.38%,10.03,"3,120",3.21
Callaway Golf,21839579524 » am-android-foryou-large-ib-medium,1.33%,15.99,"2,935",5.45
Caltex Australia Petroleum,21839579524 » am-android-foryou-large-ib-high,0.00%,0.01,1,12.00
Caltex Australia Petroleum,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,4,3.00
Caltex Australia Petroleum,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,1,5.00
Calzedonia Group,21839579524 » am-android-foryou-large-ib-high,1.14%,1.09,88,12.42
Calzedonia Group,21839579524 » am-android-foryou-large-ib-low,0.51%,0.60,197,3.04
Calzedonia Group,21839579524 » am-android-foryou-large-ib-medium,0.76%,1.34,263,5.10
Camfil Farr,21839579524 » am-android-foryou-large-ib-high,0.00%,0.04,3,12.01
Camfil Farr,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,2,3.01
Camfil Farr,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.02,4,5.01
Camila Brito Alegre,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.00
Campbell Soup Company,21839579524 » am-android-foryou-large-ib-high,0.00%,0.54,19,28.34
Campbell Soup Company,21839579524 » am-android-foryou-large-ib-low,0.00%,0.13,5,26.13
Campbell Soup Company,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.42,17,24.57
Camping World,21839579524 » am-android-foryou-large-ib-high,2.42%,"1,246.14","102,440",12.16
Camping World,21839579524 » am-android-foryou-large-ib-low,0.67%,289.48,"95,324",3.04
Camping World,21839579524 » am-android-foryou-large-ib-medium,1.04%,578.12,"114,418",5.05
Campmor,21839579524 » am-android-foryou-large-ib-high,0.00%,0.14,12,12.01
Campmor,21839579524 » am-android-foryou-large-ib-low,0.00%,0.07,23,3.01
Campmor,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.11,21,5.24
Campus Explorer,21839579524 » am-android-foryou-large-ib-high,0.00%,3.39,282,12.01
Campus Explorer,21839579524 » am-android-foryou-large-ib-low,0.00%,0.31,102,3.01
Campus Explorer,21839579524 » am-android-foryou-large-ib-medium,0.00%,1.33,264,5.03
Canada Drives,21839579524 » am-android-foryou-large-ib-high,4.55%,0.41,22,18.74
Canada Drives,21839579524 » am-android-foryou-large-ib-low,0.00%,0.07,16,4.67
Canada Drives,21839579524 » am-android-foryou-large-ib-medium,5.26%,0.13,19,6.68
Canada Life,21839579524 » am-android-foryou-large-ib-high,0.47%,2.59,215,12.04
Canada Life,21839579524 » am-android-foryou-large-ib-low,0.29%,20.06,"6,648",3.02
Canada Life,21839579524 » am-android-foryou-large-ib-medium,0.53%,7.63,"1,518",5.03
Canadian Automobile Association,21839579524 » am-android-foryou-large-ib-high,0.00%,0.02,2,12.01
Canadian Automobile Association,21839579524 » am-android-foryou-large-ib-low,0.00%,0.05,17,3.00
Canadian Automobile Association,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.04,7,5.31
Canadian Imperial Bank of Commerce,21839579524 » am-android-foryou-large-ib-high,0.00%,0.01,1,12.01
Canadian Imperial Bank of Commerce,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,2,3.00
Canadian Imperial Bank of Commerce,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,1,5.00
Canadian Pacific Railway,21839579524 » am-android-foryou-large-ib-high,0.00%,0.43,36,12.01
Canadian Pacific Railway,21839579524 » am-android-foryou-large-ib-low,5.88%,0.10,34,3.01
Canadian Pacific Railway,21839579524 » am-android-foryou-large-ib-medium,5.00%,0.30,60,5.06
Canadian Tire,21839579524 » am-android-foryou-large-ib-high,1.38%,1.74,145,12.01
Canadian Tire,21839579524 » am-android-foryou-large-ib-low,0.35%,1.74,576,3.02
Canadian Tire,21839579524 » am-android-foryou-large-ib-medium,0.60%,2.53,502,5.04
Canadian Tourism Commission,21839579524 » am-android-foryou-large-ib-high,0.00%,2.07,160,12.91
Canadian Tourism Commission,21839579524 » am-android-foryou-large-ib-low,0.12%,2.85,855,3.33
Canadian Tourism Commission,21839579524 » am-android-foryou-large-ib-medium,0.42%,4.02,718,5.59
Canali,21839579524 » am-android-foryou-large-ib-high,0.00%,0.44,31,14.35
Canali,21839579524 » am-android-foryou-large-ib-low,1.04%,0.33,96,3.43
Canali,21839579524 » am-android-foryou-large-ib-medium,2.86%,0.63,105,5.98
Cancer Council NSW,21839579524 » am-android-foryou-large-ib-high,0.00%,0.25,20,12.46
Cancer Council NSW,21839579524 » am-android-foryou-large-ib-low,0.00%,0.04,14,3.01
Cancer Council NSW,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.11,21,5.01
Canon,21839579524 » am-android-foryou-large-ib-high,1.52%,0.80,66,12.05
Canon,21839579524 » am-android-foryou-large-ib-low,1.69%,0.36,118,3.02
Canon,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.56,111,5.04
Canva,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,1,5.01
Canvas on Demand,21839579524 » am-android-foryou-large-ib-high,2.53%,82.41,"6,731",12.24
Canvas on Demand,21839579524 » am-android-foryou-large-ib-low,1.12%,19.07,"6,268",3.04
Canvas on Demand,21839579524 » am-android-foryou-large-ib-medium,1.79%,33.35,"6,579",5.07
Capital One,21839579524 » am-android-foryou-large-ib-high,0.53%,11.34,937,12.10
Capital One,21839579524 » am-android-foryou-large-ib-low,0.18%,3.39,"1,111",3.05
Capital One,21839579524 » am-android-foryou-large-ib-medium,0.17%,5.89,"1,166",5.05
Caply,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.01
Capri Holdings,21839579524 » am-android-foryou-large-ib-high,3.75%,246.25,"14,948",16.47
Capri Holdings,21839579524 » am-android-foryou-large-ib-low,1.90%,102.04,"29,859",3.42
Capri Holdings,21839579524 » am-android-foryou-large-ib-medium,2.20%,163.70,"26,469",6.18
Car Finance 247,21839579524 » am-android-foryou-large-ib-high,0.00%,0.01,1,12.01
Car Finance 247,21839579524 » am-android-foryou-large-ib-low,0.00%,0.11,38,3.01
Car Finance 247,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.06,11,5.01
Car Gurus,21839579524 » am-android-foryou-large-ib-high,6.87%,"1,003.37","63,205",15.87
Car Gurus,21839579524 » am-android-foryou-large-ib-low,3.99%,505.67,"147,241",3.43
Car Gurus,21839579524 » am-android-foryou-large-ib-medium,5.01%,719.50,"116,166",6.19
Car Next,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.01
CarFix,21839579524 » am-android-foryou-large-ib-high,0.00%,1.02,85,12.01
CarFix,21839579524 » am-android-foryou-large-ib-low,0.00%,0.71,233,3.04
CarFix,21839579524 » am-android-foryou-large-ib-medium,1.28%,0.79,156,5.05
CarID,21839579524 » am-android-foryou-large-ib-high,1.30%,62.07,"4,829",12.85
CarID,21839579524 » am-android-foryou-large-ib-low,1.36%,27.14,"8,623",3.15
CarID,21839579524 » am-android-foryou-large-ib-medium,1.56%,41.67,"7,804",5.34
CarMax,21839579524 » am-android-foryou-large-ib-high,4.89%,"1,397.41","92,549",15.10
CarMax,21839579524 » am-android-foryou-large-ib-low,2.27%,415.23,"125,239",3.32
CarMax,21839579524 » am-android-foryou-large-ib-medium,3.02%,721.42,"122,634",5.88
Cara Operations,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.01
Cardenoso Security Group,21839579524 » am-android-foryou-large-ib-high,1.27%,3.68,237,15.53
Cardenoso Security Group,21839579524 » am-android-foryou-large-ib-low,0.22%,4.34,"1,343",3.23
Cardenoso Security Group,21839579524 » am-android-foryou-large-ib-medium,0.53%,4.30,760,5.65
Cardinal Health,21839579524 » am-android-foryou-large-ib-high,0.00%,0.04,3,12.01
Cardinal Health,21839579524 » am-android-foryou-large-ib-low,0.00%,0.11,35,3.02
Cardinal Health,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.23,45,5.01
Careem,21839579524 » am-android-foryou-large-ib-high,0.00%,0.04,3,12.01
Cargill,21839579524 » am-android-foryou-large-ib-low,0.00%,0.13,44,3.01
Cargill,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.11,21,5.01
Carhartt,21839579524 » am-android-foryou-large-ib-high,1.24%,26.32,"2,172",12.12
Carhartt,21839579524 » am-android-foryou-large-ib-low,0.87%,12.24,"4,044",3.03
Carhartt,21839579524 » am-android-foryou-large-ib-medium,1.02%,21.73,"4,306",5.05
Carl Zeiss,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,2,3.01
Carlson,21839579524 » am-android-foryou-large-ib-high,6.82%,1.86,88,21.11
Carlson,21839579524 » am-android-foryou-large-ib-low,2.16%,1.15,324,3.54
Carlson,21839579524 » am-android-foryou-large-ib-medium,2.40%,1.31,208,6.30
Carolina University,21839579524 » am-android-foryou-large-ib-high,0.62%,19.54,"1,622",12.05
Carolina University,21839579524 » am-android-foryou-large-ib-low,0.16%,7.38,"2,430",3.04
Carolina University,21839579524 » am-android-foryou-large-ib-medium,0.28%,14.41,"2,867",5.03
Carolina West Wireless,21839579524 » am-android-foryou-large-ib-high,0.00%,0.01,1,12.01
Carpages,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.00
Carpet2U,21839579524 » am-android-foryou-large-ib-high,50.00%,0.02,2,12.01
Carpet2U,21839579524 » am-android-foryou-large-ib-low,0.00%,0.13,44,3.05
Carpet2U,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.13,25,5.03
CarpetVista Group,21839579524 » am-android-foryou-large-ib-low,0.00%,0.02,5,3.01
CarpetVista Group,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.03,6,5.00
Carrefour SA,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.02,3,5.00
Carrier Thailand,21839579524 » am-android-foryou-large-ib-high,0.00%,0.16,13,12.01
Carrier Thailand,21839579524 » am-android-foryou-large-ib-low,0.00%,0.04,10,3.65
Carrier Thailand,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.04,7,5.01
Cars.com,21839579524 » am-android-foryou-large-ib-high,2.97%,"2,082.70","159,924",13.02
Cars.com,21839579524 » am-android-foryou-large-ib-low,1.43%,484.32,"153,094",3.16
Cars.com,21839579524 » am-android-foryou-large-ib-medium,1.78%,840.53,"157,335",5.34
Cars24 Services,21839579524 » am-android-foryou-large-ib-high,0.00%,0.19,16,12.00
Cars24 Services,21839579524 » am-android-foryou-large-ib-low,0.00%,0.03,11,3.04
Cars24 Services,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.03,5,5.00
Carsales Network,21839579524 » am-android-foryou-large-ib-high,0.00%,0.85,71,12.01
Carsales Network,21839579524 » am-android-foryou-large-ib-low,0.00%,0.48,158,3.04
Carsales Network,21839579524 » am-android-foryou-large-ib-medium,0.00%,1.12,224,5.02
Carter's,21839579524 » am-android-foryou-large-ib-high,3.33%,0.36,30,12.01
Carter's,21839579524 » am-android-foryou-large-ib-low,2.06%,0.29,97,3.04
Carter's,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.43,84,5.09
Carter’s,21839579524 » am-android-foryou-large-ib-high,2.48%,110.82,"6,688",16.57
Carter’s,21839579524 » am-android-foryou-large-ib-low,1.11%,59.93,"17,778",3.37
Carter’s,21839579524 » am-android-foryou-large-ib-medium,1.11%,80.86,"13,259",6.10
Carwow,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.01
Case Western Reserve University,21839579524 » am-android-foryou-large-ib-high,0.00%,0.11,9,12.08
Case Western Reserve University,21839579524 » am-android-foryou-large-ib-low,0.72%,1.24,279,4.43
Case Western Reserve University,21839579524 » am-android-foryou-large-ib-medium,0.90%,1.43,221,6.48
Cash Store,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,2,3.01
Cash Store,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,2,5.01
CashCall Inc.,21839579524 » am-android-foryou-large-ib-high,0.00%,0.06,5,12.01
CashCall Inc.,21839579524 » am-android-foryou-large-ib-low,0.00%,0.08,26,3.01
CashCall Inc.,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.23,45,5.01
Casino Group,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.01
Casio Computer,21839579524 » am-android-foryou-large-ib-high,2.83%,22.62,"1,870",12.10
Casio Computer,21839579524 » am-android-foryou-large-ib-low,1.19%,4.84,"1,597",3.03
Casio Computer,21839579524 » am-android-foryou-large-ib-medium,1.86%,9.79,"1,940",5.05
Catawiki,21839579524 » am-android-foryou-large-ib-high,0.00%,0.02,2,12.00
Catawiki,21839579524 » am-android-foryou-large-ib-low,0.00%,0.03,10,3.29
Catawiki,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.04,7,5.26
Caterpillar,21839579524 » am-android-foryou-large-ib-high,1.00%,8.42,700,12.03
Caterpillar,21839579524 » am-android-foryou-large-ib-low,0.66%,11.13,"3,661",3.04
Caterpillar,21839579524 » am-android-foryou-large-ib-medium,1.23%,9.43,"1,869",5.05
Catholic Relief Services,21839579524 » am-android-foryou-large-ib-high,0.00%,0.40,24,16.57
Catholic Relief Services,21839579524 » am-android-foryou-large-ib-low,0.82%,2.35,610,3.86
Catholic Relief Services,21839579524 » am-android-foryou-large-ib-medium,0.00%,1.58,227,6.97
Caudalie,21839579524 » am-android-foryou-large-ib-high,0.62%,3.90,323,12.06
Caudalie,21839579524 » am-android-foryou-large-ib-low,0.43%,0.71,234,3.02
Caudalie,21839579524 » am-android-foryou-large-ib-medium,1.71%,1.78,351,5.07
Ceconomy,21839579524 » am-android-foryou-large-ib-high,0.00%,0.01,1,12.00
Ceconomy,21839579524 » am-android-foryou-large-ib-low,0.00%,0.02,7,3.20
Cedar Fair,21839579524 » am-android-foryou-large-ib-high,0.00%,0.02,2,12.01
Cedar Fair,21839579524 » am-android-foryou-large-ib-low,0.00%,0.06,18,3.45
Cedar Fair,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.04,8,5.13
Cellular Outfitter,21839579524 » am-android-foryou-large-ib-high,1.84%,74.53,"6,127",12.16
Cellular Outfitter,21839579524 » am-android-foryou-large-ib-low,0.71%,19.63,"6,492",3.02
Cellular Outfitter,21839579524 » am-android-foryou-large-ib-medium,1.00%,34.33,"6,795",5.05
Cencosud,21839579524 » am-android-foryou-large-ib-high,0.00%,0.18,15,12.00
Cencosud,21839579524 » am-android-foryou-large-ib-low,1.32%,0.23,76,3.01
Cencosud,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.36,71,5.08
Central Garden & Pet,21839579524 » am-android-foryou-large-ib-high,0.93%,6.47,538,12.02
Central Garden & Pet,21839579524 » am-android-foryou-large-ib-low,0.18%,3.42,"1,130",3.03
Central Garden & Pet,21839579524 » am-android-foryou-large-ib-medium,0.67%,6.02,"1,197",5.03
Central Group,21839579524 » am-android-foryou-large-ib-high,6.99%,15.44,"1,273",12.13
Central Group,21839579524 » am-android-foryou-large-ib-low,2.33%,18.67,"6,168",3.03
Central Group,21839579524 » am-android-foryou-large-ib-medium,3.83%,22.83,"4,517",5.05
Central Penn College,21839579524 » am-android-foryou-large-ib-high,0.03%,45.64,"2,994",15.24
Central Penn College,21839579524 » am-android-foryou-large-ib-low,0.26%,4.84,"1,148",4.22
Central Penn College,21839579524 » am-android-foryou-large-ib-medium,0.11%,14.68,"1,856",7.91
Centre Lane Partners,21839579524 » am-android-foryou-large-ib-high,0.00%,0.26,22,12.01
Centre Lane Partners,21839579524 » am-android-foryou-large-ib-low,0.00%,0.02,8,3.01
Centre Lane Partners,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.07,14,5.01
Centric Brands,21839579524 » am-android-foryou-large-ib-high,2.00%,1.64,100,16.42
Centric Brands,21839579524 » am-android-foryou-large-ib-low,0.54%,0.61,184,3.34
Centric Brands,21839579524 » am-android-foryou-large-ib-medium,0.52%,1.15,193,5.97
Century Interactive,21839579524 » am-android-foryou-large-ib-high,0.00%,0.05,4,12.01
Century Interactive,21839579524 » am-android-foryou-large-ib-low,0.00%,0.02,8,3.01
Century Interactive,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.04,7,5.01
CenturyLink,21839579524 » am-android-foryou-large-ib-high,0.26%,9.23,763,12.09
CenturyLink,21839579524 » am-android-foryou-large-ib-low,0.00%,1.75,573,3.05
CenturyLink,21839579524 » am-android-foryou-large-ib-medium,0.23%,4.38,870,5.03
Cerberus Capital Management,21839579524 » am-android-foryou-large-ib-high,0.00%,0.05,4,12.01
Cerberus Capital Management,21839579524 » am-android-foryou-large-ib-low,0.00%,0.11,37,3.03
Cerberus Capital Management,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.15,29,5.01
CertaPro Painters,21839579524 » am-android-foryou-large-ib-low,5.26%,0.06,19,3.01
CertaPro Painters,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,2,5.01
Ceva Saude Animal,21839579524 » am-android-foryou-large-ib-low,0.00%,0.02,8,3.01
Ceva Saude Animal,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.09,17,5.01
Cewe Stiftung & Co. KGaA,21839579524 » am-android-foryou-large-ib-high,0.00%,0.31,22,14.27
Cewe Stiftung & Co. KGaA,21839579524 » am-android-foryou-large-ib-low,0.00%,0.18,56,3.24
Cewe Stiftung & Co. KGaA,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.38,60,6.29
Cfmoto,21839579524 » am-android-foryou-large-ib-high,2.62%,5.05,420,12.03
Cfmoto,21839579524 » am-android-foryou-large-ib-low,1.49%,4.07,"1,342",3.03
Cfmoto,21839579524 » am-android-foryou-large-ib-medium,2.12%,6.93,"1,368",5.07
Chair King Backyard Store,21839579524 » am-android-foryou-large-ib-high,0.00%,0.18,15,12.10
Chair King Backyard Store,21839579524 » am-android-foryou-large-ib-low,0.00%,0.35,116,3.01
Chair King Backyard Store,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.31,62,5.01
"Chairish, Inc.",21839579524 » am-android-foryou-large-ib-high,7.80%,9.52,590,16.13
"Chairish, Inc.",21839579524 » am-android-foryou-large-ib-low,7.96%,8.63,"2,638",3.27
"Chairish, Inc.",21839579524 » am-android-foryou-large-ib-medium,9.33%,9.20,"1,565",5.88
Chal-Tec,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.01
Champion Windows,21839579524 » am-android-foryou-large-ib-high,1.72%,0.70,58,12.01
Champion Windows,21839579524 » am-android-foryou-large-ib-low,0.00%,0.48,158,3.01
Champion Windows,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.81,161,5.01
Champlain College,21839579524 » am-android-foryou-large-ib-low,0.08%,3.69,"1,227",3.01
Channel Breeze,21839579524 » am-android-foryou-large-ib-high,0.00%,0.01,1,12.00
Channel Breeze,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,2,5.00
Channel Factory,21839579524 » am-android-foryou-large-ib-high,2.55%,"1,164.10","95,457",12.20
Channel Factory,21839579524 » am-android-foryou-large-ib-low,0.99%,501.70,"165,551",3.03
Channel Factory,21839579524 » am-android-foryou-large-ib-medium,1.27%,666.16,"131,681",5.06
Chapman Automotive Group,21839579524 » am-android-foryou-large-ib-high,0.00%,0.02,2,12.01
Chapman Automotive Group,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,1,5.01
CharityUSA,21839579524 » am-android-foryou-large-ib-high,3.60%,6.29,500,12.58
CharityUSA,21839579524 » am-android-foryou-large-ib-low,1.80%,4.31,"1,388",3.11
CharityUSA,21839579524 » am-android-foryou-large-ib-medium,1.44%,5.96,"1,110",5.37
Charles & Colvard,21839579524 » am-android-foryou-large-ib-high,0.99%,1.22,101,12.06
Charles & Colvard,21839579524 » am-android-foryou-large-ib-low,0.00%,0.25,83,3.01
Charles & Colvard,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.53,104,5.06
Charles Schwab,21839579524 » am-android-foryou-large-ib-low,0.00%,0.01,4,3.40
Charles Tyrwhitt,21839579524 » am-android-foryou-large-ib-high,1.68%,50.13,"4,119",12.17
Charles Tyrwhitt,21839579524 » am-android-foryou-large-ib-low,0.87%,18.07,"5,947",3.04
Charles Tyrwhitt,21839579524 » am-android-foryou-large-ib-medium,1.12%,30.79,"6,089",5.06
Charlotte Tilbury,21839579524 » am-android-foryou-large-ib-high,1.29%,1.87,155,12.07
Charlotte Tilbury,21839579524 » am-android-foryou-large-ib-low,0.40%,0.77,250,3.07
Charlotte Tilbury,21839579524 » am-android-foryou-large-ib-medium,0.40%,1.27,250,5.10
Charter Communications,21839579524 » am-android-foryou-large-ib-high,0.69%,930.69,"76,718",12.13
Charter Communications,21839579524 » am-android-foryou-large-ib-low,0.32%,353.11,"116,414",3.03
Charter Communications,21839579524 » am-android-foryou-large-ib-medium,0.41%,576.09,"114,205",5.04
Chartered Professional Accountants of Canada,21839579524 » am-android-foryou-large-ib-high,0.00%,0.23,19,12.01
Chartered Professional Accountants of Canada,21839579524 » am-android-foryou-large-ib-low,0.00%,0.07,22,3.15
Chartered Professional Accountants of Canada,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.12,24,5.01
Chartwell Retirement Residences,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.00
Cheap Cycle Parts,21839579524 » am-android-foryou-large-ib-high,0.99%,2.44,203,12.01
Cheap Cycle Parts,21839579524 » am-android-foryou-large-ib-low,0.91%,1.01,331,3.05
Cheap Cycle Parts,21839579524 » am-android-foryou-large-ib-medium,0.34%,1.49,295,5.03
Cheap Smells,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.00
Chegg,21839579524 » am-android-foryou-large-ib-high,4.35%,0.57,46,12.34
Chegg,21839579524 » am-android-foryou-large-ib-low,0.00%,3.02,860,3.51
Chegg,21839579524 » am-android-foryou-large-ib-medium,0.18%,3.33,571,5.82
Chemed,21839579524 » am-android-foryou-large-ib-high,0.00%,0.04,3,12.01
Chemed,21839579524 » am-android-foryou-large-ib-low,0.00%,0.09,31,3.01
Chemed,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.09,18,5.01
Chevrolet Dealers,21839579524 » am-android-foryou-large-ib-high,13.33%,0.40,30,13.26
Chevrolet Dealers,21839579524 » am-android-foryou-large-ib-low,2.21%,0.44,136,3.25
Chevrolet Dealers,21839579524 » am-android-foryou-large-ib-medium,7.92%,0.61,101,6.01
Chevron Corporation,21839579524 » am-android-foryou-large-ib-high,0.00%,1.04,81,12.82
Chevron Corporation,21839579524 » am-android-foryou-large-ib-low,0.39%,3.23,"1,022",3.16
Chevron Corporation,21839579524 » am-android-foryou-large-ib-medium,0.61%,5.76,"1,149",5.01
ChicV Internal Holding,21839579524 » am-android-foryou-large-ib-high,4.30%,31.48,"1,860",16.92
ChicV Internal Holding,21839579524 » am-android-foryou-large-ib-low,2.99%,12.80,"3,651",3.51
ChicV Internal Holding,21839579524 » am-android-foryou-large-ib-medium,3.91%,20.07,"3,194",6.28
Chico's FAS,21839579524 » am-android-foryou-large-ib-high,1.76%,156.21,"12,810",12.19
Chico's FAS,21839579524 » am-android-foryou-large-ib-low,0.84%,49.51,"16,310",3.04
Chico's FAS,21839579524 » am-android-foryou-large-ib-medium,1.14%,82.45,"16,286",5.06
Children's Health,21839579524 » am-android-foryou-large-ib-high,0.00%,0.01,1,12.01
Children's Health,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.01
Children's Hospital Of Philadelphia,21839579524 » am-android-foryou-large-ib-low,0.00%,0.48,125,3.84
Children's Hospital Of Philadelphia,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.53,91,5.82
Childrensalon,21839579524 » am-android-foryou-large-ib-high,1.81%,5.35,442,12.09
Childrensalon,21839579524 » am-android-foryou-large-ib-low,1.25%,1.22,399,3.05
Childrensalon,21839579524 » am-android-foryou-large-ib-medium,1.61%,2.84,560,5.06
Children’s Hospital Of The King’s Daughters,21839579524 » am-android-foryou-large-ib-high,1.63%,3.79,307,12.33
Children’s Hospital Of The King’s Daughters,21839579524 » am-android-foryou-large-ib-low,0.00%,1.01,334,3.02
Children’s Hospital Of The King’s Daughters,21839579524 » am-android-foryou-large-ib-medium,0.19%,2.68,535,5.02
Choice Hotels International,21839579524 » am-android-foryou-large-ib-high,0.00%,0.26,22,12.01
Choice Hotels International,21839579524 » am-android-foryou-large-ib-low,0.00%,0.33,110,3.01
Choice Hotels International,21839579524 » am-android-foryou-large-ib-medium,3.49%,0.43,86,5.01
Chopard,21839579524 » am-android-foryou-large-ib-high,0.00%,0.08,7,12.01
Chopard,21839579524 » am-android-foryou-large-ib-low,0.00%,0.04,13,3.00
Chopard,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.03,6,5.00
Chow Tai Fook,21839579524 » am-android-foryou-large-ib-low,9.09%,0.03,11,3.02
Chow Tai Fook,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.05,9,5.01
Christian Connection Australia,21839579524 » am-android-foryou-large-ib-low,0.00%,0.06,21,3.01
Christian Connection Australia,21839579524 » am-android-foryou-large-ib-medium,9.09%,0.06,11,5.01
"Christianbook.com, LLC",21839579524 » am-android-foryou-large-ib-high,0.46%,7.93,657,12.06
"Christianbook.com, LLC",21839579524 » am-android-foryou-large-ib-low,0.46%,2.64,874,3.02
"Christianbook.com, LLC",21839579524 » am-android-foryou-large-ib-medium,0.59%,5.10,"1,009",5.05
Chronext,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.00
Chrysler Dealers,21839579524 » am-android-foryou-large-ib-high,0.00%,0.05,4,13.01
Chrysler Dealers,21839579524 » am-android-foryou-large-ib-low,0.00%,0.05,16,3.01
Chrysler Dealers,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.04,7,5.01
Chubb,21839579524 » am-android-foryou-large-ib-high,0.00%,0.03,2,13.31
Chubb,21839579524 » am-android-foryou-large-ib-low,0.00%,0.00,1,3.36
Chula Vista Theme Resort,21839579524 » am-android-foryou-large-ib-high,1.75%,0.69,57,12.11
Chula Vista Theme Resort,21839579524 » am-android-foryou-large-ib-low,1.00%,0.91,301,3.03
Chula Vista Theme Resort,21839579524 » am-android-foryou-large-ib-medium,2.42%,1.26,248,5.09
Chums,21839579524 » am-android-foryou-large-ib-high,0.00%,0.01,1,12.00
Chums,21839579524 » am-android-foryou-large-ib-medium,0.00%,0.01,1,5.01
Church & Dwight,21839579524 » am-android-foryou-large-ib-high,1.23%,6.84,567,12.07
Church & Dwight,21839579524 » am-android-foryou-large-ib-low,0.38%,2.41,792,3.05
Church & Dwight,21839579524 » am-android-foryou-large-ib-medium,0.56%,3.61,712,5.06
Church of Jesus Christ of Latter-day Saints,21839579524 » am-android-foryou-large-ib-high,2.51%,2.40,199,12.04
Church of Jesus Christ of Latter-day Saints,21839579524 » am-android-foryou-large-ib-low,0.78%,5.44,"1,795",3.03
Church of Jesus Christ of Latter-day Saints,21839579524 » am-android-foryou-large-ib-medium,0.45%,13.25,"2,641",5.02
